,head_x,head_y,images,tail_x,tail_y,height,width,head_x_rel,head_y_rel,tail_x_rel,tail_y_rel,specimen_id,phase,order,family,genus
3228,110.4,87.15492957746478,20170425_005/SPCBench-1493162096-001471-001-220-2256-192-136-_rawcolor.png,70.08,95.2957746478873,136.0,192.0,0.575,0.6408450704225352,0.365,0.7007042253521126,20170425_005,train,Calanoida,Acartiidae,Acartia
3229,82.08,66.87640449438203,20170425_005/SPCBench-1493161938-000682-004-476-1616-144-128-_rawcolor.png,78.48,39.55056179775281,128.0,144.0,0.57,0.5224719101123596,0.545,0.3089887640449438,20170425_005,train,Calanoida,Acartiidae,Acartia
3230,76.83999999999997,66.04255319148936,20170425_005/SPCBench-1493162020-001090-000-244-2320-136-128-_rawcolor.png,79.56,33.361702127659576,128.0,136.0,0.565,0.5159574468085106,0.585,0.26063829787234044,20170425_005,train,Calanoida,Acartiidae,Acartia
3231,28.6,52.783505154639165,20170425_005/SPCBench-1493161909-000537-000-292-2396-88-128-_rawcolor.png,86.24,112.16494845360823,128.0,88.0,0.325,0.4123711340206185,0.98,0.8762886597938144,20170425_005,train,Calanoida,Acartiidae,Acartia
3232,59.225,50.07194244604317,20170425_005/SPCBench-1493161846-000219-002-600-1868-115-160-_rawcolor.png,82.8,111.07913669064749,160.0,115.0,0.515,0.3129496402877698,0.72,0.6942446043165468,20170425_005,train,Calanoida,Acartiidae,Acartia
3233,109.12,43.596330275229356,20170425_005/SPCBench-1493162014-001059-000-28-2388-176-96-_rawcolor.png,82.72,17.61467889908257,96.0,176.0,0.62,0.4541284403669725,0.47,0.1834862385321101,20170425_005,train,Calanoida,Acartiidae,Acartia
3234,68.0,95.8146718146718,20170425_005/SPCBench-1493161833-000156-000-224-2128-136-176-_rawcolor.png,28.56,80.86486486486487,176.0,136.0,0.5,0.5444015444015444,0.21,0.4594594594594595,20170425_005,train,Calanoida,Acartiidae,Acartia
3235,31.24,52.84403669724772,20170425_005/SPCBench-1493161903-000505-000-0-2448-88-144-_rawcolor.png,9.02,78.60550458715595,144.0,88.0,0.35500000000000004,0.3669724770642202,0.1025,0.5458715596330275,20170425_005,train,Calanoida,Acartiidae,Acartia
3236,96.96,106.56,20170425_005/SPCBench-1493161900-000490-000-328-2180-192-168-_rawcolor.png,120.0,46.08000000000001,168.0,192.0,0.505,0.6342857142857142,0.625,0.2742857142857143,20170425_005,train,Calanoida,Acartiidae,Acartia
3237,92.0,83.5,20170425_005/SPCBench-1493162080-001389-000-0-2240-200-136-_rawcolor.png,126.0,77.0,136.0,200.0,0.46,0.6139705882352942,0.63,0.5661764705882353,20170425_005,train,Calanoida,Acartiidae,Acartia
